t*,z*,uz
75.000375001875,0.0,-0.00125140546549533
75.000375001875,0.05,-0.0011888351929735
75.000375001875,0.1,-0.00112626491965848
75.000375001875,0.15,-0.00106369464634354
75.000375001875,0.2,-0.0010011243730287
75.000375001875,0.25,-0.000938554099713951
75.000375001875,0.3,-0.000875983826399292
75.000375001875,0.35,-0.000813413553084714
75.000375001875,0.4,-0.000750843279770213
75.000375001875,0.45,-0.000688273006455781
75.000375001875,0.5,-0.000625702733141415
75.000375001875,0.55,-0.000563132459827106
75.000375001875,0.6,-0.000500562186512851
75.000375001875,0.65,-0.000437991913198642
75.000375001875,0.7,-0.000375421639884474
75.000375001875,0.75,-0.000312851366570341
75.000375001875,0.8,-0.000250281093256238
75.000375001875,0.85,-0.000187710819942158
75.000375001875,0.9,-0.000125140546628096
75.000375001875,0.95,-6.25702733140449e-5
75.000375001875,1.0,-1.80992061285158e-26
375.001875009375,0.0,-0.00125701154577932
375.001875009375,0.05,-0.00119416096925006
375.001875009375,0.1,-0.00113131039192048
375.001875009375,0.15,-0.00106845981459098
375.001875009375,0.2,-0.00100560923726159
375.001875009375,0.25,-0.000942758659932288
375.001875009375,0.3,-0.000879908082603073
375.001875009375,0.35,-0.000817057505273941
375.001875009375,0.4,-0.000754206927944884
375.001875009375,0.45,-0.000691356350615897
375.001875009375,0.5,-0.000628505773286975
375.001875009375,0.55,-0.000565655195958111
375.001875009375,0.6,-0.0005028046186293
375.001875009375,0.65,-0.000439954041300535
375.001875009375,0.7,-0.000377103463971811
375.001875009375,0.75,-0.000314252886643122
375.001875009375,0.8,-0.000251402309314463
375.001875009375,0.85,-0.000188551731985827
375.001875009375,0.9,-0.000125701154657208
375.001875009375,0.95,-6.28505773286012e-5
375.001875009375,1.0,-1.8261469730488e-26
750.00375001875,0.0,-0.00126398376293735
750.00375001875,0.05,-0.0012007845755586
750.00375001875,0.1,-0.00113758538737068
750.00375001875,0.15,-0.00107438619918285
750.00375001875,0.2,-0.00101118701099511
750.00375001875,0.25,-0.000947987822807463
750.00375001875,0.3,-0.000884788634619905
750.00375001875,0.35,-0.000821589446432428
750.00375001875,0.4,-0.000758390258245027
750.00375001875,0.45,-0.000695191070057696
750.00375001875,0.5,-0.000631991881870429
750.00375001875,0.55,-0.00056879269368322
750.00375001875,0.6,-0.000505593505496063
750.00375001875,0.65,-0.000442394317308953
750.00375001875,0.7,-0.000379195129121884
750.00375001875,0.75,-0.00031599594093485
750.00375001875,0.8,-0.000252796752747845
750.00375001875,0.85,-0.000189597564560864
750.00375001875,0.9,-0.000126398376373899
750.00375001875,0.95,-6.31991881869468e-5
750.00375001875,1.0,-1.84637849632382e-26
1500.0075000375,0.0,-0.00127781109016283
1500.0075000375,0.05,-0.00121392053643959
1500.0075000375,0.1,-0.00115002998188952
1500.0075000375,0.15,-0.00108613942733953
1500.0075000375,0.2,-0.00102224887278964
1500.0075000375,0.25,-0.000958358318239835
1500.0075000375,0.3,-0.000894467763690121
1500.0075000375,0.35,-0.000830577209140488
1500.0075000375,0.4,-0.00076668665459093
1500.0075000375,0.45,-0.000702796100041442
1500.0075000375,0.5,-0.000638905545492017
1500.0075000375,0.55,-0.00057501499094265
1500.0075000375,0.6,-0.000511124436393336
1500.0075000375,0.65,-0.000447233881844067
1500.0075000375,0.7,-0.000383343327294839
1500.0075000375,0.75,-0.000319452772745646
1500.0075000375,0.8,-0.000255562218196482
1500.0075000375,0.85,-0.000191671663647342
1500.0075000375,0.9,-0.000127781109098218
1500.0075000375,0.95,-6.38905545491062e-5
1500.0075000375,1.0,-1.88667013184446e-26
