t*,z*,p
0.0017441860465116279,0.0,0.0
0.0017441860465116279,0.05,2287.74157530627
0.0017441860465116279,0.1,4205.30592331037
0.0017441860465116279,0.15,5552.50650044817
0.0017441860465116279,0.2,6345.82331700121
0.0017441860465116279,0.25,6737.36897718388
0.0017441860465116279,0.3,6899.33557516323
0.0017441860465116279,0.35,6955.48671877344
0.0017441860465116279,0.4,6971.80076814185
0.0017441860465116279,0.45,6975.77279578856
0.0017441860465116279,0.5,6976.58316896571
0.0017441860465116279,0.55,6976.72170192925
0.0017441860465116279,0.6,6976.74154403393
0.0017441860465116279,0.65,6976.74392503059
0.0017441860465116279,0.7,6976.74416438152
0.0017441860465116279,0.75,6976.74418453661
0.0017441860465116279,0.8,6976.7441859582
0.0017441860465116279,0.85,6976.74418604218
0.0017441860465116279,0.9,6976.74418604633
0.0017441860465116279,0.95,6976.74418604651
0.0017441860465116279,1.0,6976.74418604651
0.00872093023255814,0.0,0.0
0.00872093023255814,0.05,1047.4877463706
0.00872093023255814,0.1,2058.21306779993
0.00872093023255814,0.15,2999.23886622347
0.00872093023255814,0.2,3844.62299599292
0.00872093023255814,0.25,4577.43202312764
0.00872093023255814,0.3,5190.3631340887
0.00872093023255814,0.35,5685.03433330084
0.00872093023255814,0.4,6070.25151656231
0.00872093023255814,0.45,6359.70493811339
0.00872093023255814,0.5,6569.56781839266
0.00872093023255814,0.55,6716.38476241932
0.00872093023255814,0.6,6815.49060744623
0.00872093023255814,0.65,6880.04125488493
0.00872093023255814,0.7,6920.60728008274
0.00872093023255814,0.75,6945.20025266477
0.00872093023255814,0.8,6959.57294275216
0.00872093023255814,0.85,6967.64623360898
0.00872093023255814,0.9,6971.94990275687
0.00872093023255814,0.95,6974.00468894636
0.00872093023255814,1.0,6974.60749812007
0.01744186046511628,0.0,0.0
0.01744186046511628,0.05,742.891862603547
0.01744186046511628,0.1,1472.61111017609
0.01744186046511628,0.15,2176.68143715414
0.01744186046511628,0.2,2843.95806344478
0.01744186046511628,0.25,3465.14818712094
0.01744186046511628,0.3,4033.17668938058
0.01744186046511628,0.35,4543.37495075426
0.01744186046511628,0.4,4993.48998412723
0.01744186046511628,0.45,5383.52921096662
0.01744186046511628,0.5,5715.47076201794
0.01744186046511628,0.55,5992.87857903333
0.01744186046511628,0.6,6220.46517421942
0.01744186046511628,0.65,6403.64295626691
0.01744186046511628,0.7,6548.0986252747
0.01744186046511628,0.75,6659.41585100796
0.01744186046511628,0.8,6742.76104632593
0.01744186046511628,0.85,6802.63718746146
0.01744186046511628,0.9,6842.70263360506
0.01744186046511628,0.95,6865.64660449628
0.01744186046511628,1.0,6873.11071634824
0.03488372093023256,0.0,0.0
0.03488372093023256,0.05,525.258405450942
0.03488372093023256,0.1,1045.72931270565
0.03488372093023256,0.15,1556.74210653904
0.03488372093023256,0.2,2053.85412050844
0.03488372093023256,0.25,2532.95042693584
0.03488372093023256,0.3,2990.32758306847
0.03488372093023256,0.35,3422.75753813
0.03488372093023256,0.4,3827.52909132476
0.03488372093023256,0.45,4202.46560648045
0.03488372093023256,0.5,4545.91904671223
0.03488372093023256,0.55,4856.74170548975
0.03488372093023256,0.6,5134.23820006493
0.03488372093023256,0.65,5378.10129399876
0.03488372093023256,0.7,5588.33587907731
0.03488372093023256,0.75,5765.17594339072
0.03488372093023256,0.8,5908.99957032358
0.03488372093023256,0.85,6020.24695787003
0.03488372093023256,0.9,6099.34613802958
0.03488372093023256,0.95,6146.65054142459
0.03488372093023256,1.0,6162.39182903766
