t*,z*,uz
1500.0075000375,0.0,-0.00249999374997156
1500.0075000375,0.05,-0.00237499406247298
1500.0075000375,0.1,-0.00224999437497441
1500.0075000375,0.15,-0.00212499468747583
1500.0075000375,0.2,-0.00199999499997725
1500.0075000375,0.25,-0.00187499531247867
1500.0075000375,0.3,-0.00174999562498009
1500.0075000375,0.35,-0.00162499593748152
1500.0075000375,0.4,-0.00149999624998294
1500.0075000375,0.45,-0.00137499656248436
1500.0075000375,0.5,-0.00124999687498578
1500.0075000375,0.55,-0.0011249971874872
1500.0075000375,0.6,-0.000999997499988625
1500.0075000375,0.65,-0.000874997812490047
1500.0075000375,0.7,-0.000749998124991469
1500.0075000375,0.75,-0.000624998437492891
1500.0075000375,0.8,-0.000499998749994312
1500.0075000375,0.85,-0.000374999062495734
1500.0075000375,0.9,-0.000249999374997156
1500.0075000375,0.95,-0.000124999687498578
1500.0075000375,1.0,0.0
