t*,z*,uz
1500.0075000375,0.0,-0.00150185584820256
1500.0075000375,0.05,-0.0014267630568574
1500.0075000375,0.1,-0.00135167026438547
1500.0075000375,0.15,-0.00127657747191446
1500.0075000375,0.2,-0.00120148467944432
1500.0075000375,0.25,-0.00112639188697502
1500.0075000375,0.3,-0.00105129909450649
1500.0075000375,0.35,-0.0009762063020387
1500.0075000375,0.4,-0.000901113509571582
1500.0075000375,0.45,-0.000826020717105089
1500.0075000375,0.5,-0.000750927924639168
1500.0075000375,0.55,-0.000675835132173767
1500.0075000375,0.6,-0.000600742339708836
1500.0075000375,0.65,-0.00052564954724432
1500.0075000375,0.7,-0.000450556754780169
1500.0075000375,0.75,-0.000375463962316331
1500.0075000375,0.8,-0.000300371169852752
1500.0075000375,0.85,-0.000225278377389382
1500.0075000375,0.9,-0.000150185584926168
1500.0075000375,0.95,-7.5092792463058e-5
1500.0075000375,1.0,-2.57228332964326e-26
