t*,z*,uz
1500.0075000375,0.0,-0.00236825244839506
1500.0075000375,0.05,-0.00224983982855088
1500.0075000375,0.1,-0.00213142720598106
1500.0075000375,0.15,-0.00201301458341356
1500.0075000375,0.2,-0.00189460196084827
1500.0075000375,0.25,-0.00177618933828508
1500.0075000375,0.3,-0.00165777671572386
1500.0075000375,0.35,-0.00153936409316448
1500.0075000375,0.4,-0.00142095147060681
1500.0075000375,0.45,-0.0013025388480507
1500.0075000375,0.5,-0.00118412622549605
1500.0075000375,0.55,-0.0010657136029427
1500.0075000375,0.6,-0.000947300980390538
1500.0075000375,0.65,-0.000828888357839424
1500.0075000375,0.7,-0.000710475735289228
1500.0075000375,0.75,-0.00059206311273982
1500.0075000375,0.8,-0.000473650490191069
1500.0075000375,0.85,-0.000355237867642842
1500.0075000375,0.9,-0.000236825245095009
1500.0075000375,0.95,-0.000118412622547439
1500.0075000375,1.0,-6.22243109555025e-26
