t*,z*,uz
30.0,0.0,-0.00125056237345648
30.0,0.05,-0.00118803425478366
30.0,0.1,-0.00112550613611083
30.0,0.15,-0.00106297801743801
30.0,0.2,-0.00100044989876519
30.0,0.25,-0.000937921780092362
30.0,0.3,-0.000875393661419538
30.0,0.35,-0.000812865542746713
30.0,0.4,-0.000750337424073889
30.0,0.45,-0.000687809305401065
30.0,0.5,-0.000625281186728241
30.0,0.55,-0.000562753068055417
30.0,0.6,-0.000500224949382593
30.0,0.65,-0.000437696830709769
30.0,0.7,-0.000375168712036945
30.0,0.75,-0.000312640593364121
30.0,0.8,-0.000250112474691296
30.0,0.85,-0.000187584356018472
30.0,0.9,-0.000125056237345648
30.0,0.95,-6.25281186728242e-5
30.0,1.0,0.0
