t*,z*,uz
1500.0075000375,0.0,-0.00249999999683349
1500.0075000375,0.05,-0.00237499999999969
1500.0075000375,0.1,-0.00224999999999977
1500.0075000375,0.15,-0.0021249999999998
1500.0075000375,0.2,-0.00199999999999981
1500.0075000375,0.25,-0.00187499999999983
1500.0075000375,0.3,-0.00174999999999984
1500.0075000375,0.35,-0.00162499999999985
1500.0075000375,0.4,-0.00149999999999986
1500.0075000375,0.45,-0.00137499999999988
1500.0075000375,0.5,-0.00124999999999989
1500.0075000375,0.55,-0.0011249999999999
1500.0075000375,0.6,-0.00099999999999991
1500.0075000375,0.65,-0.000874999999999921
1500.0075000375,0.7,-0.000749999999999932
1500.0075000375,0.75,-0.000624999999999944
1500.0075000375,0.8,-0.000499999999999955
1500.0075000375,0.85,-0.000374999999999966
1500.0075000375,0.9,-0.000249999999999977
1500.0075000375,0.95,-0.000124999999999989
1500.0075000375,1.0,-7.22376082767212e-26
