t*,z*,p
0.0017476744186046512,0.0,0.0
0.0017476744186046512,0.01,470.219013761286
0.0017476744186046512,0.02,937.088835003717
0.0017476744186046512,0.03,1397.33167130208
0.0017476744186046512,0.04,1847.8099896538
0.0017476744186046512,0.05,2285.59044510551
0.0017476744186046512,0.06,2708.00071088873
0.0017476744186046512,0.07,3112.67739200366
0.0017476744186046512,0.08,3497.60362937638
0.0017476744186046512,0.09,3861.13548147825
0.0017476744186046512,0.1,4202.01667604866
0.0017476744186046512,0.11,4519.38182718819
0.0017476744186046512,0.12,4812.74868498489
0.0017476744186046512,0.13,5082.0004017324
0.0017476744186046512,0.14,5327.3591412465
0.0017476744186046512,0.15,5549.35261218514
0.0017476744186046512,0.16,5748.77526540171
0.0017476744186046512,0.17,5926.64595837389
0.0017476744186046512,0.18,6084.16386173386
0.0017476744186046512,0.19,6222.66427401838
0.0017476744186046512,0.2,6343.57583499554
0.0017476744186046512,0.21,6448.38040190482
0.0017476744186046512,0.22,6538.57659444562
0.0017476744186046512,0.23,6615.64774100705
0.0017476744186046512,0.24,6681.0346867971
0.0017476744186046512,0.25,6736.11366834804
0.0017476744186046512,0.26,6782.17922964484
0.0017476744186046512,0.27,6820.43196095274
0.0017476744186046512,0.28,6851.97068715673
0.0017476744186046512,0.29,6877.78861983396
0.0017476744186046512,0.3,6898.77291540942
0.0017476744186046512,0.31,6915.70704743361
0.0017476744186046512,0.32,6929.275399472
0.0017476744186046512,0.33,6940.06951047161
0.0017476744186046512,0.34,6948.59545045325
0.0017476744186046512,0.35,6955.28186466399
0.0017476744186046512,0.36,6960.48829301968
0.0017476744186046512,0.37,6964.51344358235
0.0017476744186046512,0.38,6967.60316964884
0.0017476744186046512,0.39,6969.95796644703
0.0017476744186046512,0.4,6971.73986308783
0.0017476744186046512,0.41,6973.0786368549
0.0017476744186046512,0.42,6974.07731947171
0.0017476744186046512,0.43,6974.81699865874
0.0017476744186046512,0.44,6975.3609435699
0.0017476744186046512,0.45,6975.75810041138
0.0017476744186046512,0.46,6976.0460157408
0.0017476744186046512,0.47,6976.25325075673
0.0017476744186046512,0.48,6976.4013514524
0.0017476744186046512,0.49,6976.50643788939
0.0017476744186046512,0.5,6976.58047199678
0.0017476744186046512,0.51,6976.63225802814
0.0017476744186046512,0.52,6976.66822377002
0.0017476744186046512,0.53,6976.69302430352
0.0017476744186046512,0.54,6976.71000394946
0.0017476744186046512,0.55,6976.72154623578
0.0017476744186046512,0.56,6976.72933647263
0.0017476744186046512,0.57,6976.73455688831
0.0017476744186046512,0.58,6976.73803029083
0.0017476744186046512,0.59,6976.74032485785
