t*,z*,p
1e-05,0.0,0.0
1e-05,0.05,6976.7440283893
1e-05,0.1,6976.74418665499
1e-05,0.15,6976.74418665499
1e-05,0.2,6976.74418665499
1e-05,0.25,6976.74418665499
1e-05,0.3,6976.74418665499
1e-05,0.35,6976.74418665499
1e-05,0.4,6976.74418665499
1e-05,0.45,6976.744186655
1e-05,0.5,6976.74418665499
1e-05,0.55,6976.74418665499
1e-05,0.6,6976.74418665499
1e-05,0.65,6976.74418665499
1e-05,0.7,6976.74418665499
1e-05,0.75,6976.74418665499
1e-05,0.8,6976.74418665499
1e-05,0.85,6976.74418665499
1e-05,0.9,6976.74418665499
1e-05,0.95,6976.744186655
1e-05,1.0,6976.74418665499
0.001,0.0,0.0
0.001,0.05,2957.09220992607
0.001,0.1,5138.00602626022
0.001,0.15,6324.19183103533
0.001,0.2,6799.90248833252
0.001,0.25,6940.54465926339
0.001,0.3,6971.18915276128
0.001,0.35,6976.10858441683
0.001,0.4,6976.69021747321
0.001,0.45,6976.74084545533
0.001,0.5,6976.74408862452
0.001,0.55,6976.74424145664
0.001,0.6,6976.74424675275
0.001,0.65,6976.74424688765
0.001,0.7,6976.74424689018
0.001,0.75,6976.74424689021
0.001,0.8,6976.74424689021
0.001,0.85,6976.74424689021
0.001,0.9,6976.74424689021
0.001,0.95,6976.74424689021
0.001,1.0,6976.74424689021
0.01,0.0,0.0
0.01,0.05,978.950419536781
0.01,0.1,1927.85881025568
0.01,0.15,2819.42066554708
0.01,0.2,3631.39493315884
0.01,0.25,4348.19268749331
0.01,0.3,4961.55144792448
0.01,0.35,5470.29164109038
0.01,0.4,5879.30832411016
0.01,0.45,6198.0577203582
0.01,0.5,6438.83790548557
0.01,0.55,6615.13858373029
0.01,0.6,6740.26388292741
0.01,0.65,6826.33956811959
0.01,0.7,6883.72643317348
0.01,0.75,6920.79242804569
0.01,0.8,6943.95531393701
0.01,0.85,6957.89443935959
0.01,0.9,6965.83778150188
0.01,0.95,6969.84958077605
0.01,1.0,6971.06639418144
0.05,0.0,0.0
0.05,0.05,433.637462318251
0.05,0.1,864.201156471944
0.05,0.15,1288.65846111656
0.05,0.2,1704.05748814452
0.05,0.25,2107.56381658254
0.05,0.3,2496.49308160136
0.05,0.35,2868.33838124197
0.05,0.4,3220.79173322233
0.05,0.45,3551.7591215679
0.05,0.5,3859.3690005957
0.05,0.55,4141.974453748
0.05,0.6,4398.14951873055
0.05,0.65,4626.68047123794
0.05,0.7,4826.55309213186
0.05,0.75,4996.93711498367
0.05,0.8,5137.16915356053
0.05,0.85,5246.73543716854
0.05,0.9,5325.25563490433
0.05,0.95,5372.46893102713
0.05,1.0,5388.22332992457
0.1,0.0,0.0
0.1,0.05,259.857915527875
0.1,0.1,518.108977588334
0.1,0.15,773.156537543432
0.1,0.2,1023.42420329647
0.1,0.25,1267.36577617438
0.1,0.3,1503.47496164799
0.1,0.35,1730.29478419014
0.1,0.4,1946.42664114973
0.1,0.45,2150.53893589055
0.1,0.5,2341.37523640039
0.1,0.55,2517.76191189496
0.1,0.6,2678.61520639767
0.1,0.65,2822.94771464976
0.1,0.7,2949.87423179775
0.1,0.75,3058.61695394427
0.1,0.8,3148.51001170304
0.1,0.85,3219.00332327753
0.1,0.9,3269.66575724607
0.1,0.95,3300.18759818907
0.1,1.0,3310.38231059117
0.2,0.0,0.0
0.2,0.05,96.8158075972594
0.2,0.1,193.034679437209
0.2,0.15,288.063397898795
0.2,0.2,381.316082888102
0.2,0.25,472.217804014184
0.2,0.3,560.208125250807
0.2,0.35,644.744560228675
0.2,0.4,725.30591685417
0.2,0.45,801.395510633348
0.2,0.5,872.544226889914
0.2,0.55,938.313412997974
0.2,0.6,998.29758279882
0.2,0.65,1052.12691652938
0.2,0.7,1099.469540851
0.2,0.75,1140.03357492327
0.2,0.8,1173.56892991014
0.2,0.85,1199.86885082572
0.2,0.9,1218.77119121582
0.2,0.95,1230.15941281802
0.2,1.0,1233.96330403867
